Assembly District,Representative,Senate District,Senator,School Name,Sector,Grade Band,Enrollment,RC Overall Score,RC Overall Rating,ELA Proficiency,Math Proficiency
17,Supreme Moore Omokunde,6,La Tonya Johnson,Sherman Elementary,Traditional Public,'K-8,285,52.7,Meets Few Expectations,3%,1%
17,Supreme Moore Omokunde,6,La Tonya Johnson,Yeshiva Elementary,Private,'K-8,193,76.3,Exceeds Expectations,46%,30%
18,Evan Goyke,6,La Tonya Johnson,Bethune Academy,Traditional Public,'K-8,604,65.7,Meets Expectations,9%,5%
18,Evan Goyke,6,La Tonya Johnson,CERT School,Private,'9-12,9,NA,NR-DATA,NA,NA
18,Evan Goyke,6,La Tonya Johnson,Clemens Elementary,Traditional Public,'K-5,303,59.4,Meets Expectations,1%,2%
18,Evan Goyke,6,La Tonya Johnson,Groppi High,Traditional Public,'9-12,90,NA,Alternate Rating - Satisfactory Progress,NA,NA
18,Evan Goyke,6,La Tonya Johnson,Hawley Environmental School,Traditional Public,'K-5,283,51.9,Meets Few Expectations,4%,13%
18,Evan Goyke,6,La Tonya Johnson,Hi-Mount Elementary,Traditional Public,'K-8,168,57.7,Meets Few Expectations,4%,NA
18,Evan Goyke,6,La Tonya Johnson,Jo's Learning Academy,Private,'K-5,46,NA,NR-DATA,NA,NA
18,Evan Goyke,6,La Tonya Johnson,Marquette University High,Private,'9-12,97,79.6,Exceeds Expectations,58%,66%
18,Evan Goyke,6,La Tonya Johnson,Milwaukee Academy of Chinese Language,Traditional Public,'K-8,481,66.4,Meets Expectations,4%,3%
18,Evan Goyke,6,La Tonya Johnson,Milwaukee Academy of Science,2r/2x Charter,'K-12,1349,59.8,Meets Expectations,5%,6%
18,Evan Goyke,6,La Tonya Johnson,Milwaukee College Preparatory School -- 36th Street Campus,Non-Instrumentality Charter,'K-8,494,72.4,Exceeds Expectations,28%,32%
18,Evan Goyke,6,La Tonya Johnson,Milwaukee College Preparatory School -- 38th Street,Non-Instrumentality Charter,'K-8,499,70.7,Exceeds Expectations,18%,21%
18,Evan Goyke,6,La Tonya Johnson,Milwaukee High School of the Arts,Traditional Public,'9-12,993,54.8,Meets Few Expectations,13%,4%
18,Evan Goyke,6,La Tonya Johnson,Mount Olive Lutheran Grade School,Private,'K-8,138,62.9,Meets Expectations,26%,23%
18,Evan Goyke,6,La Tonya Johnson,Neeskara Elementary,Traditional Public,'K-5,307,62,Meets Expectations,5%,2%
18,Evan Goyke,6,La Tonya Johnson,Saint Coletta Day School of Milwaukee,Private,'NA,NA,NA,NA,NA,NA
18,Evan Goyke,6,La Tonya Johnson,Saint Sebastian Grade School,Private,'K-8,208,84.4,Significantly Exceeds Expectations,52%,40%
18,Evan Goyke,6,La Tonya Johnson,Story Elementary,Traditional Public,'K-8,399,56.2,Meets Few Expectations,5%,1%
18,Evan Goyke,6,La Tonya Johnson,Townsend Street Elementary,Traditional Public,'K-8,300,55.6,Meets Few Expectations,1%,NA
18,Evan Goyke,6,La Tonya Johnson,Transition High,Traditional Public,'9-12,101,NA,Alternate Rating - Needs Improvement,NA,NA
18,Evan Goyke,6,La Tonya Johnson,Wells Street Academy,Private,'NA,NA,NA,NA,NA,NA
18,Evan Goyke,6,La Tonya Johnson,Westside Academy,Traditional Public,'K-5,173,17.9,Fails to Meet Expectations,2%,NA
18,Evan Goyke,6,La Tonya Johnson,WHS Information Technology,Traditional Public,'9-12,500,12.9,Fails to Meet Expectations,0%,NA
18,Evan Goyke,6,La Tonya Johnson,Woodlands School,2r/2x Charter,'K-8,353,79.9,Exceeds Expectations,45%,30%
18,Evan Goyke,6,La Tonya Johnson,Woodlands School - State Street Campus,2r/2x Charter,'K-8,254,55.1,Meets Few Expectations,15%,19%
19,Ryan Clancy,7,Chris Larson,Cass Street Elementary,Traditional Public,'K-8,325,53.6,Meets Few Expectations,4%,4%
19,Ryan Clancy,7,Chris Larson,Catholic East Elementary,Private,'K-8,183,85.9,Significantly Exceeds Expectations,36%,31%
19,Ryan Clancy,7,Chris Larson,Downtown Montessori,2r/2x Charter,'K-8,241,80.4,Exceeds Expectations,60%,45%
19,Ryan Clancy,7,Chris Larson,Gaenslen Elementary,Traditional Public,'K-8,646,58.3,Meets Expectations,2%,0%
19,Ryan Clancy,7,Chris Larson,Hartford Avenue Elementary,Traditional Public,'K-8,431,50.3,Meets Few Expectations,5%,1%
19,Ryan Clancy,7,Chris Larson,Lincoln Middle,Traditional Public,'6-8,397,55.3,Meets Few Expectations,4%,1%
19,Ryan Clancy,7,Chris Larson,Maryland Montessori,Traditional Public,'K-8,482,83,Significantly Exceeds Expectations,55%,38%
19,Ryan Clancy,7,Chris Larson,Riverside High,Traditional Public,'9-12,1323,51.1,Meets Few Expectations,5%,4%
19,Ryan Clancy,7,Chris Larson,Saint Joan Antida High,Private,'9-12,192,62.3,Meets Expectations,10%,3%
19,Ryan Clancy,7,Chris Larson,Saint Lucas Lutheran School,Private,'K-8,128,70,Exceeds Expectations,51%,44%
19,Ryan Clancy,7,Chris Larson,Tamarack Waldorf School Community School of Milwaukee Inc,Private,'K-8,165,NA,NR-DATA,28%,11%
19,Ryan Clancy,7,Chris Larson,Tenor High,2r/2x Charter,'9-12,521,64.6,Meets Expectations,14%,10%
19,Ryan Clancy,7,Chris Larson,Trowbridge Street School of Great Lakes Studies,Traditional Public,'K-8,200,61.9,Meets Expectations,19%,12%
20,Christine Sinicki,7,Chris Larson,Atlas Preparatory Academy,Private,'K-12,494,NA,NR-DATA,4%,1%
20,Christine Sinicki,7,Chris Larson,Bay View High,Traditional Public,'9-12,904,38.4,Fails to Meet Expectations,5%,1%
20,Christine Sinicki,7,Chris Larson,Bay View Montessori School,Traditional Public,'K-8,435,80.9,Exceeds Expectations,53%,37%
20,Christine Sinicki,7,Chris Larson,Burdick Elementary,Traditional Public,'K-8,523,61.4,Meets Expectations,24%,14%
20,Christine Sinicki,7,Chris Larson,Clement Avenue Elementary,Traditional Public,'K-8,313,60.5,Meets Expectations,23%,11%
20,Christine Sinicki,7,Chris Larson,Fernwood Montessori,Traditional Public,'K-8,758,77.9,Exceeds Expectations,45%,30%
20,Christine Sinicki,7,Chris Larson,Garland Elementary,Traditional Public,'K-8,530,NA,Alternate Rating - Needs Improvement,18%,16%
20,Christine Sinicki,7,Chris Larson,Humboldt Park Elementary,Traditional Public,'K-8,546,73.4,Exceeds Expectations,30%,18%
20,Christine Sinicki,7,Chris Larson,IDEAL Individualized Developmental Educational Approaches to Learning,Instrumentality Charter,'K-8,229,73.2,Exceeds Expectations,24%,20%
20,Christine Sinicki,7,Chris Larson,Milwaukee Parkside School,Traditional Public,'K-8,811,78.7,Exceeds Expectations,22%,15%
20,Christine Sinicki,7,Chris Larson,Saint Charles Borromeo Catholic School,Private,'K-8,134,86,Significantly Exceeds Expectations,59%,49%
20,Christine Sinicki,7,Chris Larson,Saint Thomas Aquinas Academy,Private,'K-8,143,92,Significantly Exceeds Expectations,62%,66%
20,Christine Sinicki,7,Chris Larson,Victory Elementary,Traditional Public,'K-8,485,70.6,Exceeds Expectations,17%,11%
20,Christine Sinicki,7,Chris Larson,Whittier Elementary,Instrumentality Charter,'K-5,152,80.9,Exceeds Expectations,45%,50%
84,Bob Donovan,28,Julian Bradley,Academy of Accelerated Learning,Traditional Public,'K-5,581,NA,Alternate Rating - Needs Improvement,33%,27%
84,Bob Donovan,28,Julian Bradley,Alcott Elementary,Traditional Public,'K-8,248,68.1,Meets Expectations,23%,6%
84,Bob Donovan,28,Julian Bradley,Hamilton High,Traditional Public,'9-12,1360,55.5,Meets Few Expectations,4%,1%
84,Bob Donovan,28,Julian Bradley,Honey Creek Elementary,Instrumentality Charter,'K-5,355,56.9,Meets Few Expectations,28%,23%
84,Bob Donovan,28,Julian Bradley,Saint Johns Evangelical Lutheran School,Private,'K-8,245,92.4,Significantly Exceeds Expectations,44%,58%
84,Bob Donovan,28,Julian Bradley,Saint Matthias School,Private,'K-8,112,70.3,Exceeds Expectations,34%,37%
84,Bob Donovan,28,Julian Bradley,Wedgewood Park School,Traditional Public,'6-8,754,63.7,Meets Expectations,20%,12%
84,Bob Donovan,28,Julian Bradley,Whitman Elementary,Traditional Public,'K-8,323,64.7,Meets Expectations,20%,14%
